v-sweep,v(Vout)
0.00000000e+00,1.79999999e+00
1.00000000e-02,1.79999999e+00
2.00000000e-02,1.79999999e+00
3.00000000e-02,1.79999999e+00
4.00000000e-02,1.79999999e+00
5.00000000e-02,1.79999999e+00
6.00000000e-02,1.79999998e+00
7.00000000e-02,1.79999998e+00
8.00000000e-02,1.79999998e+00
9.00000000e-02,1.79999997e+00
1.00000000e-01,1.79999997e+00
1.10000000e-01,1.79999996e+00
1.20000000e-01,1.79999995e+00
1.30000000e-01,1.79999994e+00
1.40000000e-01,1.79999993e+00
1.50000000e-01,1.79999991e+00
1.60000000e-01,1.79999988e+00
1.70000000e-01,1.79999985e+00
1.80000000e-01,1.79999981e+00
1.90000000e-01,1.79999975e+00
2.00000000e-01,1.79999968e+00
2.10000000e-01,1.79999958e+00
2.20000000e-01,1.79999946e+00
2.30000000e-01,1.79999931e+00
2.40000000e-01,1.79999910e+00
2.50000000e-01,1.79999884e+00
2.60000000e-01,1.79999849e+00
2.70000000e-01,1.79999805e+00
2.80000000e-01,1.79999747e+00
2.90000000e-01,1.79999672e+00
3.00000000e-01,1.79999575e+00
3.10000000e-01,1.79999448e+00
3.20000000e-01,1.79999285e+00
3.30000000e-01,1.79999072e+00
3.40000000e-01,1.79998796e+00
3.50000000e-01,1.79998439e+00
3.60000000e-01,1.79997976e+00
3.70000000e-01,1.79997375e+00
3.80000000e-01,1.79996597e+00
3.90000000e-01,1.79995589e+00
4.00000000e-01,1.79994285e+00
4.10000000e-01,1.79992597e+00
4.20000000e-01,1.79990414e+00
4.30000000e-01,1.79987594e+00
4.40000000e-01,1.79983955e+00
4.50000000e-01,1.79979261e+00
4.60000000e-01,1.79973216e+00
4.70000000e-01,1.79965441e+00
4.80000000e-01,1.79955456e+00
4.90000000e-01,1.79942655e+00
5.00000000e-01,1.79926274e+00
5.10000000e-01,1.79905359e+00
5.20000000e-01,1.79878717e+00
5.30000000e-01,1.79844868e+00
5.40000000e-01,1.79801988e+00
5.50000000e-01,1.79747835e+00
5.60000000e-01,1.79679678e+00
5.70000000e-01,1.79594207e+00
5.80000000e-01,1.79487433e+00
5.90000000e-01,1.79354591e+00
6.00000000e-01,1.79190013e+00
6.10000000e-01,1.78987007e+00
6.20000000e-01,1.78737705e+00
6.30000000e-01,1.78432904e+00
6.40000000e-01,1.78061857e+00
6.50000000e-01,1.77612030e+00
6.60000000e-01,1.77068766e+00
6.70000000e-01,1.76414824e+00
6.80000000e-01,1.75629720e+00
6.90000000e-01,1.74688734e+00
7.00000000e-01,1.73561377e+00
7.10000000e-01,1.72208923e+00
7.20000000e-01,1.70580244e+00
7.30000000e-01,1.68604350e+00
7.40000000e-01,1.66175907e+00
7.50000000e-01,1.63123447e+00
7.60000000e-01,1.59131251e+00
7.70000000e-01,1.53510493e+00
7.80000000e-01,1.44861632e+00
7.90000000e-01,1.33263434e+00
8.00000000e-01,1.20707505e+00
8.10000000e-01,1.07954752e+00
8.20000000e-01,9.52525680e-01
8.30000000e-01,8.27211347e-01
8.40000000e-01,7.04361915e-01
8.50000000e-01,5.84644376e-01
8.60000000e-01,4.68964474e-01
8.70000000e-01,3.59097726e-01
8.80000000e-01,2.59504996e-01
8.90000000e-01,1.81626583e-01
9.00000000e-01,1.35740260e-01
9.10000000e-01,1.10046864e-01
9.20000000e-01,9.31016795e-02
9.30000000e-01,8.05776427e-02
9.40000000e-01,7.07145134e-02
9.50000000e-01,6.26408521e-02
9.60000000e-01,5.58593058e-02
9.70000000e-01,5.00571089e-02
9.80000000e-01,4.50236510e-02
9.90000000e-01,4.06098105e-02
1.00000000e+00,3.67058943e-02
1.01000000e+00,3.32287647e-02
1.02000000e+00,3.01138781e-02
1.03000000e+00,2.73101295e-02
1.04000000e+00,2.47763805e-02
1.05000000e+00,2.24790479e-02
1.06000000e+00,2.03903800e-02
1.07000000e+00,1.84871986e-02
1.08000000e+00,1.67499599e-02
1.09000000e+00,1.51620419e-02
1.10000000e+00,1.37091948e-02
1.11000000e+00,1.23791122e-02
1.12000000e+00,1.11610891e-02
1.13000000e+00,1.00457503e-02
1.14000000e+00,9.02482876e-03
1.15000000e+00,8.09098403e-03
1.16000000e+00,7.23765285e-03
1.17000000e+00,6.45892413e-03
1.18000000e+00,5.74943406e-03
1.19000000e+00,5.10427779e-03
1.20000000e+00,4.51893458e-03
1.21000000e+00,3.98920474e-03
1.22000000e+00,3.51115666e-03
1.23000000e+00,3.08108307e-03
1.24000000e+00,2.69546554e-03
1.25000000e+00,2.35094695e-03
1.26000000e+00,2.04431110e-03
1.27000000e+00,1.77246931e-03
1.28000000e+00,1.53245312e-03
1.29000000e+00,1.32141253e-03
1.30000000e+00,1.13661878e-03
1.31000000e+00,9.75470535e-04
1.32000000e+00,8.35502293e-04
1.33000000e+00,7.14393589e-04
1.34000000e+00,6.09977863e-04
1.35000000e+00,5.20249787e-04
1.36000000e+00,4.43370204e-04
1.37000000e+00,3.77668118e-04
1.38000000e+00,3.21639475e-04
1.39000000e+00,2.73942834e-04
1.40000000e+00,2.33392222e-04
1.41000000e+00,1.98947718e-04
1.42000000e+00,1.69704342e-04
1.43000000e+00,1.44879922e-04
1.44000000e+00,1.23802497e-04
1.45000000e+00,1.05897790e-04
1.46000000e+00,9.06771612e-05
1.47000000e+00,7.77263069e-05
