v-sweep,v(Vout)
0.00000000e+00,1.79999999e+00
1.00000000e-02,1.79999999e+00
2.00000000e-02,1.79999999e+00
3.00000000e-02,1.79999999e+00
4.00000000e-02,1.79999999e+00
5.00000000e-02,1.79999999e+00
6.00000000e-02,1.79999999e+00
7.00000000e-02,1.79999999e+00
8.00000000e-02,1.79999999e+00
9.00000000e-02,1.79999999e+00
1.00000000e-01,1.79999999e+00
1.10000000e-01,1.79999998e+00
1.20000000e-01,1.79999998e+00
1.30000000e-01,1.79999997e+00
1.40000000e-01,1.79999997e+00
1.50000000e-01,1.79999996e+00
1.60000000e-01,1.79999995e+00
1.70000000e-01,1.79999994e+00
1.80000000e-01,1.79999992e+00
1.90000000e-01,1.79999990e+00
2.00000000e-01,1.79999987e+00
2.10000000e-01,1.79999984e+00
2.20000000e-01,1.79999979e+00
2.30000000e-01,1.79999973e+00
2.40000000e-01,1.79999966e+00
2.50000000e-01,1.79999956e+00
2.60000000e-01,1.79999943e+00
2.70000000e-01,1.79999926e+00
2.80000000e-01,1.79999905e+00
2.90000000e-01,1.79999877e+00
3.00000000e-01,1.79999841e+00
3.10000000e-01,1.79999794e+00
3.20000000e-01,1.79999733e+00
3.30000000e-01,1.79999655e+00
3.40000000e-01,1.79999554e+00
3.50000000e-01,1.79999422e+00
3.60000000e-01,1.79999252e+00
3.70000000e-01,1.79999032e+00
3.80000000e-01,1.79998748e+00
3.90000000e-01,1.79998379e+00
4.00000000e-01,1.79997902e+00
4.10000000e-01,1.79997284e+00
4.20000000e-01,1.79996485e+00
4.30000000e-01,1.79995452e+00
4.40000000e-01,1.79994115e+00
4.50000000e-01,1.79992387e+00
4.60000000e-01,1.79990153e+00
4.70000000e-01,1.79987270e+00
4.80000000e-01,1.79983548e+00
4.90000000e-01,1.79978748e+00
5.00000000e-01,1.79972563e+00
5.10000000e-01,1.79964602e+00
5.20000000e-01,1.79954367e+00
5.30000000e-01,1.79941224e+00
5.40000000e-01,1.79924375e+00
5.50000000e-01,1.79902808e+00
5.60000000e-01,1.79875254e+00
5.70000000e-01,1.79840126e+00
5.80000000e-01,1.79795442e+00
5.90000000e-01,1.79738744e+00
6.00000000e-01,1.79666997e+00
6.10000000e-01,1.79576467e+00
6.20000000e-01,1.79462937e+00
6.30000000e-01,1.79320085e+00
6.40000000e-01,1.79141603e+00
6.50000000e-01,1.78919349e+00
6.60000000e-01,1.78643509e+00
6.70000000e-01,1.78302270e+00
6.80000000e-01,1.77881393e+00
6.90000000e-01,1.77363631e+00
7.00000000e-01,1.76727970e+00
7.10000000e-01,1.75948351e+00
7.20000000e-01,1.74991131e+00
7.30000000e-01,1.73814092e+00
7.40000000e-01,1.72358205e+00
7.50000000e-01,1.70538699e+00
7.60000000e-01,1.68222395e+00
7.70000000e-01,1.65172886e+00
7.80000000e-01,1.60881053e+00
7.90000000e-01,1.53959616e+00
8.00000000e-01,1.42464087e+00
8.10000000e-01,1.28846093e+00
8.20000000e-01,1.14913874e+00
8.30000000e-01,1.01090513e+00
8.40000000e-01,8.75437437e-01
8.50000000e-01,7.43606287e-01
8.60000000e-01,6.15982856e-01
8.70000000e-01,4.93167355e-01
8.80000000e-01,3.76262660e-01
8.90000000e-01,2.68168549e-01
9.00000000e-01,1.78087517e-01
9.10000000e-01,1.22737461e-01
9.20000000e-01,9.44761055e-02
9.30000000e-01,7.71967071e-02
9.40000000e-01,6.49618716e-02
9.50000000e-01,5.56054111e-02
9.60000000e-01,4.81234240e-02
9.70000000e-01,4.19653521e-02
9.80000000e-01,3.67939854e-02
9.90000000e-01,3.23865228e-02
1.00000000e+00,2.85874954e-02
1.01000000e+00,2.52838973e-02
1.02000000e+00,2.23909407e-02
1.03000000e+00,1.98433799e-02
1.04000000e+00,1.75899569e-02
1.05000000e+00,1.55896916e-02
1.06000000e+00,1.38093285e-02
1.07000000e+00,1.22215201e-02
1.08000000e+00,1.08035077e-02
1.09000000e+00,9.53614084e-03
1.10000000e+00,8.40313659e-03
1.11000000e+00,7.39051071e-03
1.12000000e+00,6.48613490e-03
1.13000000e+00,5.67938884e-03
1.14000000e+00,4.96088442e-03
1.15000000e+00,4.32224591e-03
1.16000000e+00,3.75593509e-03
1.17000000e+00,3.25511200e-03
1.18000000e+00,2.81352537e-03
1.19000000e+00,2.42542746e-03
1.20000000e+00,2.08550940e-03
1.21000000e+00,1.78885334e-03
1.22000000e+00,1.53089838e-03
1.23000000e+00,1.30741729e-03
1.24000000e+00,1.11450116e-03
1.25000000e+00,9.48549361e-04
1.26000000e+00,8.06262458e-04
1.27000000e+00,6.84635945e-04
1.28000000e+00,5.80953237e-04
1.29000000e+00,4.92776760e-04
1.30000000e+00,4.17936533e-04
1.31000000e+00,3.54516066e-04
1.32000000e+00,3.00835833e-04
1.33000000e+00,2.55434816e-04
1.34000000e+00,2.17050789e-04
1.35000000e+00,1.84600072e-04
1.36000000e+00,1.57157422e-04
1.37000000e+00,1.33936646e-04
1.38000000e+00,1.14272376e-04
1.39000000e+00,9.76033263e-05
1.40000000e+00,8.34571824e-05
1.41000000e+00,7.14372072e-05
1.42000000e+00,6.12105183e-05
1.43000000e+00,5.24979581e-05
1.44000000e+00,4.50654240e-05
1.45000000e+00,3.87165096e-05
1.46000000e+00,3.32863000e-05
1.47000000e+00,2.86361670e-05
