v-sweep,v(Vout)
0.00000000e+00,1.79999999e+00
1.00000000e-02,1.79999999e+00
2.00000000e-02,1.79999999e+00
3.00000000e-02,1.79999999e+00
4.00000000e-02,1.79999999e+00
5.00000000e-02,1.79999998e+00
6.00000000e-02,1.79999998e+00
7.00000000e-02,1.79999998e+00
8.00000000e-02,1.79999998e+00
9.00000000e-02,1.79999997e+00
1.00000000e-01,1.79999996e+00
1.10000000e-01,1.79999995e+00
1.20000000e-01,1.79999994e+00
1.30000000e-01,1.79999993e+00
1.40000000e-01,1.79999991e+00
1.50000000e-01,1.79999988e+00
1.60000000e-01,1.79999984e+00
1.70000000e-01,1.79999980e+00
1.80000000e-01,1.79999974e+00
1.90000000e-01,1.79999966e+00
2.00000000e-01,1.79999956e+00
2.10000000e-01,1.79999943e+00
2.20000000e-01,1.79999925e+00
2.30000000e-01,1.79999903e+00
2.40000000e-01,1.79999873e+00
2.50000000e-01,1.79999835e+00
2.60000000e-01,1.79999785e+00
2.70000000e-01,1.79999719e+00
2.80000000e-01,1.79999633e+00
2.90000000e-01,1.79999521e+00
3.00000000e-01,1.79999375e+00
3.10000000e-01,1.79999185e+00
3.20000000e-01,1.79998936e+00
3.30000000e-01,1.79998612e+00
3.40000000e-01,1.79998189e+00
3.50000000e-01,1.79997637e+00
3.60000000e-01,1.79996917e+00
3.70000000e-01,1.79995980e+00
3.80000000e-01,1.79994760e+00
3.90000000e-01,1.79993173e+00
4.00000000e-01,1.79991109e+00
4.10000000e-01,1.79988428e+00
4.20000000e-01,1.79984950e+00
4.30000000e-01,1.79980442e+00
4.40000000e-01,1.79974608e+00
4.50000000e-01,1.79967069e+00
4.60000000e-01,1.79957346e+00
4.70000000e-01,1.79944830e+00
4.80000000e-01,1.79928753e+00
4.90000000e-01,1.79908156e+00
5.00000000e-01,1.79881838e+00
5.10000000e-01,1.79848312e+00
5.20000000e-01,1.79805744e+00
5.30000000e-01,1.79751889e+00
5.40000000e-01,1.79684014e+00
5.50000000e-01,1.79598820e+00
5.60000000e-01,1.79492351e+00
5.70000000e-01,1.79359896e+00
5.80000000e-01,1.79195887e+00
5.90000000e-01,1.78993785e+00
6.00000000e-01,1.78745949e+00
6.10000000e-01,1.78443499e+00
6.20000000e-01,1.78076129e+00
6.30000000e-01,1.77631900e+00
6.40000000e-01,1.77096935e+00
6.50000000e-01,1.76455017e+00
6.60000000e-01,1.75687002e+00
6.70000000e-01,1.74769942e+00
6.80000000e-01,1.73675748e+00
6.90000000e-01,1.72369050e+00
7.00000000e-01,1.70803663e+00
7.10000000e-01,1.68916358e+00
7.20000000e-01,1.66615093e+00
7.30000000e-01,1.63754466e+00
7.40000000e-01,1.60074726e+00
7.50000000e-01,1.55036696e+00
7.60000000e-01,1.47388220e+00
7.70000000e-01,1.36219317e+00
7.80000000e-01,1.23485673e+00
7.90000000e-01,1.10371243e+00
8.00000000e-01,9.72236702e-01
8.10000000e-01,8.41999506e-01
8.20000000e-01,7.13967811e-01
8.30000000e-01,5.88978708e-01
8.40000000e-01,4.68151759e-01
8.50000000e-01,3.53689606e-01
8.60000000e-01,2.51251268e-01
8.70000000e-01,1.74756424e-01
8.80000000e-01,1.32092453e-01
8.90000000e-01,1.07987045e-01
9.00000000e-01,9.17826298e-02
9.10000000e-01,7.96657892e-02
9.20000000e-01,7.00538484e-02
9.30000000e-01,6.21467123e-02
9.40000000e-01,5.54807888e-02
9.50000000e-01,4.97613723e-02
9.60000000e-01,4.47884227e-02
9.70000000e-01,4.04194339e-02
9.80000000e-01,3.65490715e-02
9.90000000e-01,3.30971859e-02
1.00000000e+00,3.00013480e-02
1.01000000e+00,2.72119869e-02
1.02000000e+00,2.46891008e-02
1.03000000e+00,2.23999616e-02
1.04000000e+00,2.03174706e-02
1.05000000e+00,1.84189526e-02
1.06000000e+00,1.66852552e-02
1.07000000e+00,1.51000622e-02
1.08000000e+00,1.36493642e-02
1.09000000e+00,1.23210433e-02
1.10000000e+00,1.11045423e-02
1.11000000e+00,9.99060154e-03
1.12000000e+00,8.97104250e-03
1.13000000e+00,8.03859195e-03
1.14000000e+00,7.18673560e-03
1.15000000e+00,6.40959613e-03
1.16000000e+00,5.70183065e-03
1.17000000e+00,5.05854409e-03
1.18000000e+00,4.47521600e-03
1.19000000e+00,3.94763876e-03
1.20000000e+00,3.47186594e-03
1.21000000e+00,3.04416964e-03
1.22000000e+00,2.66100628e-03
1.23000000e+00,2.31899025e-03
1.24000000e+00,2.01487485e-03
1.25000000e+00,1.74554011e-03
1.26000000e+00,1.50798686e-03
1.27000000e+00,1.29933621e-03
1.28000000e+00,1.11683338e-03
1.29000000e+00,9.57854866e-04
1.30000000e+00,8.19917471e-04
1.31000000e+00,7.00687955e-04
1.32000000e+00,5.97991963e-04
1.33000000e+00,5.09821155e-04
1.34000000e+00,4.34337715e-04
1.35000000e+00,3.69875699e-04
1.36000000e+00,3.14939085e-04
1.37000000e+00,2.68196648e-04
1.38000000e+00,2.28474053e-04
1.39000000e+00,1.94743741e-04
1.40000000e+00,1.66113235e-04
1.41000000e+00,1.41812536e-04
1.42000000e+00,1.21181185e-04
1.43000000e+00,1.03655514e-04
1.44000000e+00,8.87564600e-05
1.45000000e+00,7.60782309e-05
1.46000000e+00,6.52779764e-05
1.47000000e+00,5.60665570e-05
