v-sweep,v(Vout)
0.00000000e+00,1.79999999e+00
1.00000000e-02,1.79999999e+00
2.00000000e-02,1.79999999e+00
3.00000000e-02,1.79999999e+00
4.00000000e-02,1.79999999e+00
5.00000000e-02,1.79999999e+00
6.00000000e-02,1.79999999e+00
7.00000000e-02,1.79999999e+00
8.00000000e-02,1.79999999e+00
9.00000000e-02,1.79999998e+00
1.00000000e-01,1.79999998e+00
1.10000000e-01,1.79999998e+00
1.20000000e-01,1.79999997e+00
1.30000000e-01,1.79999996e+00
1.40000000e-01,1.79999996e+00
1.50000000e-01,1.79999994e+00
1.60000000e-01,1.79999993e+00
1.70000000e-01,1.79999991e+00
1.80000000e-01,1.79999989e+00
1.90000000e-01,1.79999985e+00
2.00000000e-01,1.79999981e+00
2.10000000e-01,1.79999976e+00
2.20000000e-01,1.79999969e+00
2.30000000e-01,1.79999960e+00
2.40000000e-01,1.79999949e+00
2.50000000e-01,1.79999934e+00
2.60000000e-01,1.79999914e+00
2.70000000e-01,1.79999889e+00
2.80000000e-01,1.79999857e+00
2.90000000e-01,1.79999816e+00
3.00000000e-01,1.79999762e+00
3.10000000e-01,1.79999692e+00
3.20000000e-01,1.79999602e+00
3.30000000e-01,1.79999485e+00
3.40000000e-01,1.79999334e+00
3.50000000e-01,1.79999139e+00
3.60000000e-01,1.79998887e+00
3.70000000e-01,1.79998562e+00
3.80000000e-01,1.79998140e+00
3.90000000e-01,1.79997596e+00
4.00000000e-01,1.79996893e+00
4.10000000e-01,1.79995984e+00
4.20000000e-01,1.79994811e+00
4.30000000e-01,1.79993296e+00
4.40000000e-01,1.79991342e+00
4.50000000e-01,1.79988821e+00
4.60000000e-01,1.79985574e+00
4.70000000e-01,1.79981393e+00
4.80000000e-01,1.79976013e+00
4.90000000e-01,1.79969100e+00
5.00000000e-01,1.79960227e+00
5.10000000e-01,1.79948852e+00
5.20000000e-01,1.79934292e+00
5.30000000e-01,1.79915688e+00
5.40000000e-01,1.79891963e+00
5.50000000e-01,1.79861768e+00
5.60000000e-01,1.79823431e+00
5.70000000e-01,1.79774880e+00
5.80000000e-01,1.79713566e+00
5.90000000e-01,1.79636365e+00
6.00000000e-01,1.79539477e+00
6.10000000e-01,1.79418298e+00
6.20000000e-01,1.79267285e+00
6.30000000e-01,1.79079798e+00
6.40000000e-01,1.78847920e+00
6.50000000e-01,1.78562247e+00
6.60000000e-01,1.78211632e+00
6.70000000e-01,1.77782871e+00
6.80000000e-01,1.77260276e+00
6.90000000e-01,1.76625106e+00
7.00000000e-01,1.75854725e+00
7.10000000e-01,1.74921334e+00
7.20000000e-01,1.73789970e+00
7.30000000e-01,1.72415166e+00
7.40000000e-01,1.70735053e+00
7.50000000e-01,1.68660134e+00
7.60000000e-01,1.66049564e+00
7.70000000e-01,1.62652334e+00
7.80000000e-01,1.57934593e+00
7.90000000e-01,1.50516880e+00
8.00000000e-01,1.38901639e+00
8.10000000e-01,1.25450929e+00
8.20000000e-01,1.11706452e+00
8.30000000e-01,9.80601810e-01
8.40000000e-01,8.46739637e-01
8.50000000e-01,7.16358723e-01
8.60000000e-01,5.90105917e-01
8.70000000e-01,4.68769605e-01
8.80000000e-01,3.53915147e-01
8.90000000e-01,2.49750638e-01
9.00000000e-01,1.68384597e-01
9.10000000e-01,1.22094385e-01
9.20000000e-01,9.71881433e-02
9.30000000e-01,8.10498159e-02
9.40000000e-01,6.92529627e-02
9.50000000e-01,6.00481870e-02
9.60000000e-01,5.25780468e-02
9.70000000e-01,4.63554041e-02
9.80000000e-01,4.10747663e-02
9.90000000e-01,3.65308697e-02
1.00000000e+00,3.25786686e-02
1.01000000e+00,2.91116841e-02
1.02000000e+00,2.60493820e-02
1.03000000e+00,2.33293708e-02
1.04000000e+00,2.09023589e-02
1.05000000e+00,1.87287525e-02
1.06000000e+00,1.67762940e-02
1.07000000e+00,1.50183755e-02
1.08000000e+00,1.34328056e-02
1.09000000e+00,1.20008893e-02
1.10000000e+00,1.07067296e-02
1.11000000e+00,9.53668836e-03
1.12000000e+00,8.47896488e-03
1.13000000e+00,7.52326177e-03
1.14000000e+00,6.66051697e-03
1.15000000e+00,5.88268821e-03
1.16000000e+00,5.18257669e-03
1.17000000e+00,4.55368332e-03
1.18000000e+00,3.99009099e-03
1.19000000e+00,3.48636859e-03
1.20000000e+00,3.03749341e-03
1.21000000e+00,2.63878943e-03
1.22000000e+00,2.28587940e-03
1.23000000e+00,1.97464912e-03
1.24000000e+00,1.70122222e-03
1.25000000e+00,1.46194395e-03
1.26000000e+00,1.25337226e-03
1.27000000e+00,1.07227452e-03
1.28000000e+00,9.15627962e-04
1.29000000e+00,7.80622207e-04
1.30000000e+00,6.64662193e-04
1.31000000e+00,5.65370051e-04
1.32000000e+00,4.80584918e-04
1.33000000e+00,4.08359971e-04
1.34000000e+00,3.46956397e-04
1.35000000e+00,2.94834388e-04
1.36000000e+00,2.50641511e-04
1.37000000e+00,2.13199045e-04
1.38000000e+00,1.81486936e-04
1.39000000e+00,1.54628061e-04
1.40000000e+00,1.31872422e-04
1.41000000e+00,1.12581801e-04
1.42000000e+00,9.62152646e-05
1.43000000e+00,8.23157959e-05
1.44000000e+00,7.04982137e-05
1.45000000e+00,6.04384353e-05
1.46000000e+00,5.18640723e-05
1.47000000e+00,4.45462910e-05
