 frequency       db(v(Vout))     180*cph(v(Vout))/pi
 1.25892541e+05 -2.82951179e-01 -1.05402799e+01 
 1.41253754e+05 -3.17083466e-01 -1.17968373e+01 
 1.58489319e+05 -3.59677192e-01 -1.31949669e+01 
 1.77827941e+05 -4.12714897e-01 -1.47474217e+01 
 1.99526231e+05 -4.78581501e-01 -1.64668798e+01 
 2.23872114e+05 -5.60113370e-01 -1.83654236e+01 
 2.51188643e+05 -6.60636150e-01 -2.04538461e+01 
 2.81838293e+05 -7.83980859e-01 -2.27407740e+01 
 3.16227766e+05 -9.34464856e-01 -2.52316218e+01 
 3.54813389e+05 -1.11682256e+00 -2.79274323e+01 
 3.98107171e+05 -1.33607168e+00 -3.08237114e+01 
 4.46683592e+05 -1.59730627e+00 -3.39094257e+01 
 5.01187234e+05 -1.90541877e+00 -3.71663805e+01 
 5.62341325e+05 -2.26477013e+00 -4.05692071e+01 
 6.30957344e+05 -2.67884529e+00 -4.40861404e+01 
 7.07945784e+05 -3.14994624e+00 -4.76806446e+01 
 7.94328235e+05 -3.67897843e+00 -5.13137681e+01 
 8.91250938e+05 -4.26537407e+00 -5.49469315e+01 
 1.00000000e+06 -4.90716988e+00 -5.85447356e+01 
 1.12201845e+06 -5.60122469e+00 -6.20773727e+01 
 1.25892541e+06 -6.34353519e+00 -6.55223323e+01 
 1.41253754e+06 -7.12959557e+00 -6.88652680e+01 
 1.58489319e+06 -7.95474840e+00 -7.21000718e+01 
 1.77827941e+06 -8.81448922e+00 -7.52283243e+01 
 1.99526231e+06 -9.70470541e+00 -7.82583487e+01 
 2.23872114e+06 -1.06218471e+01 -8.12040818e+01 
 2.51188643e+06 -1.15630395e+01 -8.40839276e+01 
 2.81838293e+06 -1.25261520e+01 -8.69196961e+01 
 3.16227766e+06 -1.35098402e+01 -8.97356730e+01 
 3.54813389e+06 -1.45135762e+01 -9.25578173e+01 
 3.98107171e+06 -1.55376782e+01 -9.54130558e+01 
 4.46683592e+06 -1.65833480e+01 -9.83286203e+01 
 5.01187234e+06 -1.76527199e+01 -1.01331365e+02 
 5.62341325e+06 -1.87489222e+01 -1.04446996e+02 
 6.30957344e+06 -1.98761474e+01 -1.07699140e+02 
 7.07945784e+06 -2.10397245e+01 -1.11108206e+02 
 7.94328235e+06 -2.22461824e+01 -1.14689987e+02 
 8.91250938e+06 -2.35032911e+01 -1.18454006e+02 
 1.00000000e+07 -2.48200662e+01 -1.22401639e+02 
 1.12201845e+07 -2.62067276e+01 -1.26524128e+02 
 1.25892541e+07 -2.76746108e+01 -1.30800623e+02 
 1.41253754e+07 -2.92360493e+01 -1.35196471e+02 
 1.58489319e+07 -3.09042708e+01 -1.39661932e+02 
 1.77827941e+07 -3.26933852e+01 -1.44131453e+02 
 1.99526231e+07 -3.46185881e+01 -1.48523489e+02 
 2.23872114e+07 -3.66967726e+01 -1.52740658e+02 
 2.51188643e+07 -3.89478771e+01 -1.56669688e+02 
 2.81838293e+07 -4.13975801e+01 -1.60179914e+02 
 3.16227766e+07 -4.40826045e+01 -1.63117323e+02 
 3.54813389e+07 -4.70615042e+01 -1.65285804e+02 
 3.98107171e+07 -5.04382376e+01 -1.66389377e+02 
 4.46683592e+07 -5.44201457e+01 -1.65835706e+02 
 5.01187234e+07 -5.94883748e+01 -1.61885644e+02 
 5.62341325e+07 -6.69757590e+01 -1.45578815e+02 
 6.30957344e+07 -7.25348139e+01 -6.03872831e+01 
 7.07945784e+07 -6.57337044e+01 -1.91380669e+01 
 7.94328235e+07 -6.20780685e+01 -1.00687423e+01 
 8.91250938e+07 -5.99505716e+01 -6.12792352e+00 
 1.00000000e+08 -5.85492155e+01 -3.81497840e+00 
 1.12201845e+08 -5.75543430e+01 -2.26539890e+00 
 1.25892541e+08 -5.68136840e+01 -1.17361153e+00 
 1.41253754e+08 -5.62452621e+01 -3.98477916e-01 
 1.58489319e+08 -5.58006590e+01  1.42709422e-01 
 1.77827941e+08 -5.54489337e+01  5.07669839e-01 
 1.99526231e+08 -5.51689126e+01  7.40507061e-01 
 2.23872114e+08 -5.49452669e+01  8.75915298e-01 
 2.51188643e+08 -5.47664201e+01  9.41116174e-01 
 2.81838293e+08 -5.46233745e+01  9.57136849e-01 
 3.16227766e+08 -5.45090113e+01  9.39898122e-01 
 3.54813389e+08 -5.44176426e+01  9.01204394e-01 
 3.98107171e+08 -5.43447017e+01  8.49624579e-01 
 4.46683592e+08 -5.42865168e+01  7.91244932e-01 
 5.01187234e+08 -5.42401355e+01  7.30286887e-01 
 5.62341325e+08 -5.42031861e+01  6.69597695e-01 
 6.30957344e+08 -5.41737663e+01  6.11029924e-01 
 7.07945784e+08 -5.41503521e+01  5.55728115e-01 
 7.94328235e+08 -5.41317244e+01  5.04342009e-01 
 8.91250938e+08 -5.41169093e+01  4.57182397e-01 
 1.00000000e+09 -5.41051292e+01  4.14333814e-01 
 1.12201845e+09 -5.40957642e+01  3.75734782e-01 
 1.25892541e+09 -5.40883204e+01  3.41234596e-01 
 1.41253754e+09 -5.40824043e+01  3.10632674e-01 
 1.58489319e+09 -5.40777028e+01  2.83705869e-01 
 1.77827941e+09 -5.40739666e+01  2.60226792e-01 
 1.99526231e+09 -5.40709977e+01  2.39976108e-01 
 2.23872114e+09 -5.40686384e+01  2.22750545e-01 
 2.51188643e+09 -5.40667633e+01  2.08367918e-01 
 2.81838293e+09 -5.40652729e+01  1.96670269e-01 
 3.16227766e+09 -5.40640878e+01  1.87525687e-01 
 3.54813389e+09 -5.40631449e+01  1.80829343e-01 
 3.98107171e+09 -5.40623943e+01  1.76504069e-01 
 4.46683592e+09 -5.40617959e+01  1.74500755e-01 
 5.01187234e+09 -5.40613178e+01  1.74798672e-01 
 5.62341325e+09 -5.40609346e+01  1.77405911e-01 
 6.30957344e+09 -5.40606260e+01  1.82359987e-01 
 7.07945784e+09 -5.40603754e+01  1.89728681e-01 
 7.94328235e+09 -5.40601696e+01  1.99611192e-01 
 8.91250938e+09 -5.40599976e+01  2.12139624e-01 
 1.00000000e+10 -5.40598502e+01  2.27480852e-01 
 1.12201845e+10 -5.40597196e+01  2.45838816e-01 
 1.25892541e+10 -5.40595988e+01  2.67457266e-01 
 1.41253754e+10 -5.40594814e+01  2.92623020e-01 
 1.58489319e+10 -5.40593611e+01  3.21669766e-01 
 1.77827941e+10 -5.40592316e+01  3.54982451e-01 
 1.99526231e+10 -5.40590859e+01  3.93002343e-01 
 2.23872114e+10 -5.40589164e+01  4.36232782e-01 
 2.51188643e+10 -5.40587138e+01  4.85245729e-01 
 2.81838293e+10 -5.40584676e+01  5.40689142e-01 
 3.16227766e+10 -5.40581646e+01  6.03295299e-01 
 3.54813389e+10 -5.40577887e+01  6.73890088e-01 
 3.98107171e+10 -5.40573198e+01  7.53403392e-01 
 4.46683592e+10 -5.40567332e+01  8.42880599e-01 
 5.01187234e+10 -5.40559976e+01  9.43495311e-01 
 5.62341325e+10 -5.40550740e+01  1.05656327e+00 
 6.30957344e+10 -5.40539135e+01  1.18355752e+00 
 7.07945784e+10 -5.40524548e+01  1.32612464e+00 
 7.94328235e+10 -5.40506206e+01  1.48610206e+00 
 8.91250938e+10 -5.40483142e+01  1.66553593e+00 
 1.00000000e+11 -5.40454145e+01  1.86669920e+00 
 1.12201845e+11 -5.40417694e+01  2.09210903e+00 
 1.25892541e+11 -5.40371885e+01  2.34454229e+00 
 1.41253754e+11 -5.40314340e+01  2.62704747e+00 
 1.58489319e+11 -5.40242088e+01  2.94295021e+00 
 1.77827941e+11 -5.40151431e+01  3.29584907e+00 
 1.99526231e+11 -5.40037778e+01  3.68959621e+00 
 2.23872114e+11 -5.39895443e+01  4.12825623e+00 
 2.51188643e+11 -5.39717426e+01  4.61603401e+00 
 2.81838293e+11 -5.39495150e+01  5.15715951e+00 
 3.16227766e+11 -5.39218182e+01  5.75571480e+00 
 3.54813389e+11 -5.38873947e+01  6.41538551e+00 
 3.98107171e+11 -5.38447467e+01  7.13911700e+00 
 4.46683592e+11 -5.37921151e+01  7.92865624e+00 
 5.01187234e+11 -5.37274741e+01  8.78396534e+00 
 5.62341325e+11 -5.36485464e+01  9.70250547e+00 
 6.30957344e+11 -5.35528544e+01  1.06784143e+01 
 7.07945784e+11 -5.34378187e+01  1.17016384e+01 
 7.94328235e+11 -5.33009162e+01  1.27571346e+01 
 8.91250938e+11 -5.31399046e+01  1.38243148e+01 
 1.00000000e+12 -5.29531073e+01  1.48769600e+01 
