 frequency       Tmag            Tphase         
 1.00000000e+00  3.48976141e+01 -9.41083730e-03 
 1.12201845e+00  3.48976141e+01 -1.05591331e-02 
 1.25892541e+00  3.48976140e+01 -1.18475422e-02 
 1.41253754e+00  3.48976140e+01 -1.32931609e-02 
 1.58489319e+00  3.48976139e+01 -1.49151718e-02 
 1.77827941e+00  3.48976139e+01 -1.67350979e-02 
 1.99526231e+00  3.48976138e+01 -1.87770885e-02 
 2.23872114e+00  3.48976136e+01 -2.10682396e-02 
 2.51188643e+00  3.48976135e+01 -2.36389534e-02 
 2.81838293e+00  3.48976133e+01 -2.65233416e-02 
 3.16227766e+00  3.48976131e+01 -2.97596781e-02 
 3.54813389e+00  3.48976128e+01 -3.33909073e-02 
 3.98107171e+00  3.48976124e+01 -3.74652131e-02 
 4.46683592e+00  3.48976119e+01 -4.20366589e-02 
 5.01187234e+00  3.48976113e+01 -4.71659049e-02 
 5.62341325e+00  3.48976105e+01 -5.29210126e-02 
 6.30957344e+00  3.48976096e+01 -5.93783484e-02 
 7.07945784e+00  3.48976084e+01 -6.66235966e-02 
 7.94328235e+00  3.48976068e+01 -7.47528961e-02 
 8.91250938e+00  3.48976049e+01 -8.38741167e-02 
 1.00000000e+01  3.48976025e+01 -9.41082894e-02 
 1.12201845e+01  3.48975995e+01 -1.05591213e-01 
 1.25892541e+01  3.48975957e+01 -1.18475255e-01 
 1.41253754e+01  3.48975909e+01 -1.32931373e-01 
 1.58489319e+01  3.48975848e+01 -1.49151385e-01 
 1.77827941e+01  3.48975772e+01 -1.67350509e-01 
 1.99526231e+01  3.48975677e+01 -1.87770221e-01 
 2.23872114e+01  3.48975556e+01 -2.10681459e-01 
 2.51188643e+01  3.48975404e+01 -2.36388209e-01 
 2.81838293e+01  3.48975213e+01 -2.65231544e-01 
 3.16227766e+01  3.48974973e+01 -2.97594138e-01 
 3.54813389e+01  3.48974670e+01 -3.33905340e-01 
 3.98107171e+01  3.48974288e+01 -3.74646858e-01 
 4.46683592e+01  3.48973808e+01 -4.20359141e-01 
 5.01187234e+01  3.48973204e+01 -4.71648527e-01 
 5.62341325e+01  3.48972443e+01 -5.29195264e-01 
 6.30957344e+01  3.48971486e+01 -5.93762492e-01 
 7.07945784e+01  3.48970280e+01 -6.66206313e-01 
 7.94328235e+01  3.48968762e+01 -7.47487077e-01 
 8.91250938e+01  3.48966852e+01 -8.38682005e-01 
 1.00000000e+02  3.48964446e+01 -9.40999328e-01 
 1.12201845e+02  3.48961419e+01 -1.05579409e+00 
 1.25892541e+02  3.48957607e+01 -1.18458583e+00 
 1.41253754e+02  3.48952809e+01 -1.32907825e+00 
 1.58489319e+02  3.48946770e+01 -1.49118125e+00 
 1.77827941e+02  3.48939167e+01 -1.67303533e+00 
 1.99526231e+02  3.48929599e+01 -1.87703875e+00 
 2.23872114e+02  3.48917556e+01 -2.10587758e+00 
 2.51188643e+02  3.48902399e+01 -2.36255882e+00 
 2.81838293e+02  3.48883325e+01 -2.65044677e+00 
 3.16227766e+02  3.48859325e+01 -2.97330269e+00 
 3.54813389e+02  3.48829129e+01 -3.33532771e+00 
 3.98107171e+02  3.48791145e+01 -3.74120870e+00 
 4.46683592e+02  3.48743372e+01 -4.19616659e+00 
 5.01187234e+02  3.48683305e+01 -4.70600623e+00 
 5.62341325e+02  3.48607803e+01 -5.27716621e+00 
 6.30957344e+02  3.48512937e+01 -5.91676620e+00 
 7.07945784e+02  3.48393802e+01 -6.63264845e+00 
 7.94328235e+02  3.48244284e+01 -7.43340826e+00 
 8.91250938e+02  3.48056780e+01 -8.32840625e+00 
 1.00000000e+03  3.47821872e+01 -9.32775276e+00 
 1.12201845e+03  3.47527940e+01 -1.04422516e+01 
 1.25892541e+03  3.47160703e+01 -1.16832834e+01 
 1.41253754e+03  3.46702750e+01 -1.30626142e+01 
 1.58489319e+03  3.46133005e+01 -1.45920946e+01 
 1.77827941e+03  3.45426206e+01 -1.62832293e+01 
 1.99526231e+03  3.44552449e+01 -1.81465852e+01 
 2.23872114e+03  3.43476878e+01 -2.01910219e+01 
 2.51188643e+03  3.42159617e+01 -2.24227321e+01 
 2.81838293e+03  3.40556166e+01 -2.48441420e+01 
 3.16227766e+03  3.38618190e+01 -2.74526779e+01 
 3.54813389e+03  3.36295354e+01 -3.02396879e+01 
 3.98107171e+03  3.33537324e+01 -3.31894045e+01 
 4.46683592e+03  3.30297095e+01 -3.62785903e+01 
 5.01187234e+03  3.26534151e+01 -3.94766403e+01 
 5.62341325e+03  3.22218090e+01 -4.27467091e+01 
 6.30957344e+03  3.17331306e+01 -4.60474855e+01 
 7.07945784e+03  3.11870827e+01 -4.93357310e+01 
 7.94328235e+03  3.05848621e+01 -5.25690777e+01 
 8.91250938e+03  2.99290363e+01 -5.57086814e+01 
 1.00000000e+04  2.92232958e+01 -5.87213612e+01 
