v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,4.98633633e-03
2.00000000e-02,9.97267265e-03
3.00000000e-02,1.49590090e-02
4.00000000e-02,1.99453453e-02
5.00000000e-02,2.49316816e-02
6.00000000e-02,2.99180180e-02
7.00000000e-02,3.49043543e-02
8.00000000e-02,3.98906906e-02
9.00000000e-02,4.48770269e-02
1.00000000e-01,4.98633633e-02
1.10000000e-01,5.48496996e-02
1.20000000e-01,5.98360359e-02
1.30000000e-01,6.48223722e-02
1.40000000e-01,6.98087086e-02
1.50000000e-01,7.47950449e-02
1.60000000e-01,7.97813812e-02
1.70000000e-01,8.47677176e-02
1.80000000e-01,8.97540539e-02
1.90000000e-01,9.47403902e-02
2.00000000e-01,9.97267265e-02
2.10000000e-01,1.04713063e-01
2.20000000e-01,1.09699399e-01
2.30000000e-01,1.14685736e-01
2.40000000e-01,1.19672072e-01
2.50000000e-01,1.24658408e-01
2.60000000e-01,1.29644744e-01
2.70000000e-01,1.34631081e-01
2.80000000e-01,1.39617417e-01
2.90000000e-01,1.44603753e-01
3.00000000e-01,1.49590090e-01
3.10000000e-01,1.54576426e-01
3.20000000e-01,1.59562762e-01
3.30000000e-01,1.64549099e-01
3.40000000e-01,1.69535435e-01
3.50000000e-01,1.74521771e-01
3.60000000e-01,1.79508108e-01
3.70000000e-01,1.84494444e-01
3.80000000e-01,1.89480780e-01
3.90000000e-01,1.94467117e-01
4.00000000e-01,1.99453453e-01
4.10000000e-01,2.04439789e-01
4.20000000e-01,2.09426126e-01
4.30000000e-01,2.14412462e-01
4.40000000e-01,2.19398798e-01
4.50000000e-01,2.24385135e-01
4.60000000e-01,2.29371471e-01
4.70000000e-01,2.34357807e-01
4.80000000e-01,2.39344144e-01
4.90000000e-01,2.44330480e-01
5.00000000e-01,2.49316816e-01
5.10000000e-01,2.54303153e-01
5.20000000e-01,2.59289489e-01
5.30000000e-01,2.64275825e-01
5.40000000e-01,2.69262162e-01
5.50000000e-01,2.74248498e-01
5.60000000e-01,2.79234834e-01
5.70000000e-01,2.84221171e-01
5.80000000e-01,2.89207507e-01
5.90000000e-01,2.94193843e-01
6.00000000e-01,2.99180180e-01
6.10000000e-01,3.04166516e-01
6.20000000e-01,3.09152852e-01
6.30000000e-01,3.14139189e-01
6.40000000e-01,3.19125525e-01
6.50000000e-01,3.24111861e-01
6.60000000e-01,3.29098198e-01
6.70000000e-01,3.34084534e-01
6.80000000e-01,3.39070870e-01
6.90000000e-01,3.44057207e-01
7.00000000e-01,3.49043543e-01
7.10000000e-01,3.54029879e-01
7.20000000e-01,3.59016216e-01
7.30000000e-01,3.64002552e-01
7.40000000e-01,3.68988888e-01
7.50000000e-01,3.73975225e-01
7.60000000e-01,3.78961561e-01
7.70000000e-01,3.83947897e-01
7.80000000e-01,3.88934233e-01
7.90000000e-01,3.93920570e-01
8.00000000e-01,3.98906906e-01
8.10000000e-01,4.03893242e-01
8.20000000e-01,4.08879579e-01
8.30000000e-01,4.13865915e-01
8.40000000e-01,4.18852251e-01
8.50000000e-01,4.23838588e-01
8.60000000e-01,4.28824924e-01
8.70000000e-01,4.33811260e-01
8.80000000e-01,4.38797597e-01
8.90000000e-01,4.43783933e-01
9.00000000e-01,4.48770269e-01
9.10000000e-01,4.53756606e-01
9.20000000e-01,4.58742942e-01
9.30000000e-01,4.63729278e-01
9.40000000e-01,4.68715615e-01
9.50000000e-01,4.73701951e-01
9.60000000e-01,4.78688287e-01
9.70000000e-01,4.83674624e-01
9.80000000e-01,4.88660960e-01
9.90000000e-01,4.93647296e-01
1.00000000e+00,4.98633633e-01
