v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,5.00135312e-03
2.00000000e-02,1.00027062e-02
3.00000000e-02,1.50040594e-02
4.00000000e-02,2.00054125e-02
5.00000000e-02,2.50067656e-02
6.00000000e-02,3.00081187e-02
7.00000000e-02,3.50094718e-02
8.00000000e-02,4.00108249e-02
9.00000000e-02,4.50121781e-02
1.00000000e-01,5.00135312e-02
1.10000000e-01,5.50148843e-02
1.20000000e-01,6.00162374e-02
1.30000000e-01,6.50175905e-02
1.40000000e-01,7.00189436e-02
1.50000000e-01,7.50202968e-02
1.60000000e-01,8.00216499e-02
1.70000000e-01,8.50230030e-02
1.80000000e-01,9.00243561e-02
1.90000000e-01,9.50257092e-02
2.00000000e-01,1.00027062e-01
2.10000000e-01,1.05028415e-01
2.20000000e-01,1.10029769e-01
2.30000000e-01,1.15031122e-01
2.40000000e-01,1.20032475e-01
2.50000000e-01,1.25033828e-01
2.60000000e-01,1.30035181e-01
2.70000000e-01,1.35036534e-01
2.80000000e-01,1.40037887e-01
2.90000000e-01,1.45039240e-01
3.00000000e-01,1.50040594e-01
3.10000000e-01,1.55041947e-01
3.20000000e-01,1.60043300e-01
3.30000000e-01,1.65044653e-01
3.40000000e-01,1.70046006e-01
3.50000000e-01,1.75047359e-01
3.60000000e-01,1.80048712e-01
3.70000000e-01,1.85050065e-01
3.80000000e-01,1.90051418e-01
3.90000000e-01,1.95052772e-01
4.00000000e-01,2.00054125e-01
4.10000000e-01,2.05055478e-01
4.20000000e-01,2.10056831e-01
4.30000000e-01,2.15058184e-01
4.40000000e-01,2.20059537e-01
4.50000000e-01,2.25060890e-01
4.60000000e-01,2.30062243e-01
4.70000000e-01,2.35063597e-01
4.80000000e-01,2.40064950e-01
4.90000000e-01,2.45066303e-01
5.00000000e-01,2.50067656e-01
5.10000000e-01,2.55069009e-01
5.20000000e-01,2.60070362e-01
5.30000000e-01,2.65071715e-01
5.40000000e-01,2.70073068e-01
5.50000000e-01,2.75074421e-01
5.60000000e-01,2.80075775e-01
5.70000000e-01,2.85077128e-01
5.80000000e-01,2.90078481e-01
5.90000000e-01,2.95079834e-01
6.00000000e-01,3.00081187e-01
6.10000000e-01,3.05082540e-01
6.20000000e-01,3.10083893e-01
6.30000000e-01,3.15085246e-01
6.40000000e-01,3.20086600e-01
6.50000000e-01,3.25087953e-01
6.60000000e-01,3.30089306e-01
6.70000000e-01,3.35090659e-01
6.80000000e-01,3.40092012e-01
6.90000000e-01,3.45093365e-01
7.00000000e-01,3.50094718e-01
7.10000000e-01,3.55096071e-01
7.20000000e-01,3.60097424e-01
7.30000000e-01,3.65098778e-01
7.40000000e-01,3.70100131e-01
7.50000000e-01,3.75101484e-01
7.60000000e-01,3.80102837e-01
7.70000000e-01,3.85104190e-01
7.80000000e-01,3.90105543e-01
7.90000000e-01,3.95106896e-01
8.00000000e-01,4.00108249e-01
8.10000000e-01,4.05109603e-01
8.20000000e-01,4.10110956e-01
8.30000000e-01,4.15112309e-01
8.40000000e-01,4.20113662e-01
8.50000000e-01,4.25115015e-01
8.60000000e-01,4.30116368e-01
8.70000000e-01,4.35117721e-01
8.80000000e-01,4.40119074e-01
8.90000000e-01,4.45120427e-01
9.00000000e-01,4.50121781e-01
9.10000000e-01,4.55123134e-01
9.20000000e-01,4.60124487e-01
9.30000000e-01,4.65125840e-01
9.40000000e-01,4.70127193e-01
9.50000000e-01,4.75128546e-01
9.60000000e-01,4.80129899e-01
9.70000000e-01,4.85131252e-01
9.80000000e-01,4.90132606e-01
9.90000000e-01,4.95133959e-01
1.00000000e+00,5.00135312e-01
