v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,5.01999248e-03
2.00000000e-02,1.00399850e-02
3.00000000e-02,1.50599774e-02
4.00000000e-02,2.00799699e-02
5.00000000e-02,2.50999624e-02
6.00000000e-02,3.01199549e-02
7.00000000e-02,3.51399473e-02
8.00000000e-02,4.01599398e-02
9.00000000e-02,4.51799323e-02
1.00000000e-01,5.01999248e-02
1.10000000e-01,5.52199172e-02
1.20000000e-01,6.02399097e-02
1.30000000e-01,6.52599022e-02
1.40000000e-01,7.02798947e-02
1.50000000e-01,7.52998872e-02
1.60000000e-01,8.03198796e-02
1.70000000e-01,8.53398721e-02
1.80000000e-01,9.03598646e-02
1.90000000e-01,9.53798571e-02
2.00000000e-01,1.00399850e-01
2.10000000e-01,1.05419842e-01
2.20000000e-01,1.10439834e-01
2.30000000e-01,1.15459827e-01
2.40000000e-01,1.20479819e-01
2.50000000e-01,1.25499812e-01
2.60000000e-01,1.30519804e-01
2.70000000e-01,1.35539797e-01
2.80000000e-01,1.40559789e-01
2.90000000e-01,1.45579782e-01
3.00000000e-01,1.50599774e-01
3.10000000e-01,1.55619767e-01
3.20000000e-01,1.60639759e-01
3.30000000e-01,1.65659752e-01
3.40000000e-01,1.70679744e-01
3.50000000e-01,1.75699737e-01
3.60000000e-01,1.80719729e-01
3.70000000e-01,1.85739722e-01
3.80000000e-01,1.90759714e-01
3.90000000e-01,1.95779707e-01
4.00000000e-01,2.00799699e-01
4.10000000e-01,2.05819692e-01
4.20000000e-01,2.10839684e-01
4.30000000e-01,2.15859677e-01
4.40000000e-01,2.20879669e-01
4.50000000e-01,2.25899661e-01
4.60000000e-01,2.30919654e-01
4.70000000e-01,2.35939646e-01
4.80000000e-01,2.40959639e-01
4.90000000e-01,2.45979631e-01
5.00000000e-01,2.50999624e-01
5.10000000e-01,2.56019616e-01
5.20000000e-01,2.61039609e-01
5.30000000e-01,2.66059601e-01
5.40000000e-01,2.71079594e-01
5.50000000e-01,2.76099586e-01
5.60000000e-01,2.81119579e-01
5.70000000e-01,2.86139571e-01
5.80000000e-01,2.91159564e-01
5.90000000e-01,2.96179556e-01
6.00000000e-01,3.01199549e-01
6.10000000e-01,3.06219541e-01
6.20000000e-01,3.11239534e-01
6.30000000e-01,3.16259526e-01
6.40000000e-01,3.21279519e-01
6.50000000e-01,3.26299511e-01
6.60000000e-01,3.31319503e-01
6.70000000e-01,3.36339496e-01
6.80000000e-01,3.41359488e-01
6.90000000e-01,3.46379481e-01
7.00000000e-01,3.51399473e-01
7.10000000e-01,3.56419466e-01
7.20000000e-01,3.61439458e-01
7.30000000e-01,3.66459451e-01
7.40000000e-01,3.71479443e-01
7.50000000e-01,3.76499436e-01
7.60000000e-01,3.81519428e-01
7.70000000e-01,3.86539421e-01
7.80000000e-01,3.91559413e-01
7.90000000e-01,3.96579406e-01
8.00000000e-01,4.01599398e-01
8.10000000e-01,4.06619391e-01
8.20000000e-01,4.11639383e-01
8.30000000e-01,4.16659376e-01
8.40000000e-01,4.21679368e-01
8.50000000e-01,4.26699361e-01
8.60000000e-01,4.31719353e-01
8.70000000e-01,4.36739346e-01
8.80000000e-01,4.41759338e-01
8.90000000e-01,4.46779330e-01
9.00000000e-01,4.51799323e-01
9.10000000e-01,4.56819315e-01
9.20000000e-01,4.61839308e-01
9.30000000e-01,4.66859300e-01
9.40000000e-01,4.71879293e-01
9.50000000e-01,4.76899285e-01
9.60000000e-01,4.81919278e-01
9.70000000e-01,4.86939270e-01
9.80000000e-01,4.91959263e-01
9.90000000e-01,4.96979255e-01
1.00000000e+00,5.01999248e-01
