v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,4.99963726e-03
2.00000000e-02,9.99927451e-03
3.00000000e-02,1.49989118e-02
4.00000000e-02,1.99985490e-02
5.00000000e-02,2.49981863e-02
6.00000000e-02,2.99978235e-02
7.00000000e-02,3.49974608e-02
8.00000000e-02,3.99970981e-02
9.00000000e-02,4.49967353e-02
1.00000000e-01,4.99963726e-02
1.10000000e-01,5.49960098e-02
1.20000000e-01,5.99956471e-02
1.30000000e-01,6.49952843e-02
1.40000000e-01,6.99949216e-02
1.50000000e-01,7.49945588e-02
1.60000000e-01,7.99941961e-02
1.70000000e-01,8.49938334e-02
1.80000000e-01,8.99934706e-02
1.90000000e-01,9.49931079e-02
2.00000000e-01,9.99927451e-02
2.10000000e-01,1.04992382e-01
2.20000000e-01,1.09992020e-01
2.30000000e-01,1.14991657e-01
2.40000000e-01,1.19991294e-01
2.50000000e-01,1.24990931e-01
2.60000000e-01,1.29990569e-01
2.70000000e-01,1.34990206e-01
2.80000000e-01,1.39989843e-01
2.90000000e-01,1.44989480e-01
3.00000000e-01,1.49989118e-01
3.10000000e-01,1.54988755e-01
3.20000000e-01,1.59988392e-01
3.30000000e-01,1.64988029e-01
3.40000000e-01,1.69987667e-01
3.50000000e-01,1.74987304e-01
3.60000000e-01,1.79986941e-01
3.70000000e-01,1.84986578e-01
3.80000000e-01,1.89986216e-01
3.90000000e-01,1.94985853e-01
4.00000000e-01,1.99985490e-01
4.10000000e-01,2.04985128e-01
4.20000000e-01,2.09984765e-01
4.30000000e-01,2.14984402e-01
4.40000000e-01,2.19984039e-01
4.50000000e-01,2.24983677e-01
4.60000000e-01,2.29983314e-01
4.70000000e-01,2.34982951e-01
4.80000000e-01,2.39982588e-01
4.90000000e-01,2.44982226e-01
5.00000000e-01,2.49981863e-01
5.10000000e-01,2.54981500e-01
5.20000000e-01,2.59981137e-01
5.30000000e-01,2.64980775e-01
5.40000000e-01,2.69980412e-01
5.50000000e-01,2.74980049e-01
5.60000000e-01,2.79979686e-01
5.70000000e-01,2.84979324e-01
5.80000000e-01,2.89978961e-01
5.90000000e-01,2.94978598e-01
6.00000000e-01,2.99978235e-01
6.10000000e-01,3.04977873e-01
6.20000000e-01,3.09977510e-01
6.30000000e-01,3.14977147e-01
6.40000000e-01,3.19976784e-01
6.50000000e-01,3.24976422e-01
6.60000000e-01,3.29976059e-01
6.70000000e-01,3.34975696e-01
6.80000000e-01,3.39975333e-01
6.90000000e-01,3.44974971e-01
7.00000000e-01,3.49974608e-01
7.10000000e-01,3.54974245e-01
7.20000000e-01,3.59973882e-01
7.30000000e-01,3.64973520e-01
7.40000000e-01,3.69973157e-01
7.50000000e-01,3.74972794e-01
7.60000000e-01,3.79972431e-01
7.70000000e-01,3.84972069e-01
7.80000000e-01,3.89971706e-01
7.90000000e-01,3.94971343e-01
8.00000000e-01,3.99970981e-01
8.10000000e-01,4.04970618e-01
8.20000000e-01,4.09970255e-01
8.30000000e-01,4.14969892e-01
8.40000000e-01,4.19969530e-01
8.50000000e-01,4.24969167e-01
8.60000000e-01,4.29968804e-01
8.70000000e-01,4.34968441e-01
8.80000000e-01,4.39968079e-01
8.90000000e-01,4.44967716e-01
9.00000000e-01,4.49967353e-01
9.10000000e-01,4.54966990e-01
9.20000000e-01,4.59966628e-01
9.30000000e-01,4.64966265e-01
9.40000000e-01,4.69965902e-01
9.50000000e-01,4.74965539e-01
9.60000000e-01,4.79965177e-01
9.70000000e-01,4.84964814e-01
9.80000000e-01,4.89964451e-01
9.90000000e-01,4.94964088e-01
1.00000000e+00,4.99963726e-01
