v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,5.00017976e-03
2.00000000e-02,1.00003595e-02
3.00000000e-02,1.50005393e-02
4.00000000e-02,2.00007191e-02
5.00000000e-02,2.50008988e-02
6.00000000e-02,3.00010786e-02
7.00000000e-02,3.50012583e-02
8.00000000e-02,4.00014381e-02
9.00000000e-02,4.50016179e-02
1.00000000e-01,5.00017976e-02
1.10000000e-01,5.50019774e-02
1.20000000e-01,6.00021572e-02
1.30000000e-01,6.50023369e-02
1.40000000e-01,7.00025167e-02
1.50000000e-01,7.50026964e-02
1.60000000e-01,8.00028762e-02
1.70000000e-01,8.50030560e-02
1.80000000e-01,9.00032357e-02
1.90000000e-01,9.50034155e-02
2.00000000e-01,1.00003595e-01
2.10000000e-01,1.05003775e-01
2.20000000e-01,1.10003955e-01
2.30000000e-01,1.15004135e-01
2.40000000e-01,1.20004314e-01
2.50000000e-01,1.25004494e-01
2.60000000e-01,1.30004674e-01
2.70000000e-01,1.35004854e-01
2.80000000e-01,1.40005033e-01
2.90000000e-01,1.45005213e-01
3.00000000e-01,1.50005393e-01
3.10000000e-01,1.55005573e-01
3.20000000e-01,1.60005752e-01
3.30000000e-01,1.65005932e-01
3.40000000e-01,1.70006112e-01
3.50000000e-01,1.75006292e-01
3.60000000e-01,1.80006471e-01
3.70000000e-01,1.85006651e-01
3.80000000e-01,1.90006831e-01
3.90000000e-01,1.95007011e-01
4.00000000e-01,2.00007191e-01
4.10000000e-01,2.05007370e-01
4.20000000e-01,2.10007550e-01
4.30000000e-01,2.15007730e-01
4.40000000e-01,2.20007910e-01
4.50000000e-01,2.25008089e-01
4.60000000e-01,2.30008269e-01
4.70000000e-01,2.35008449e-01
4.80000000e-01,2.40008629e-01
4.90000000e-01,2.45008808e-01
5.00000000e-01,2.50008988e-01
5.10000000e-01,2.55009168e-01
5.20000000e-01,2.60009348e-01
5.30000000e-01,2.65009527e-01
5.40000000e-01,2.70009707e-01
5.50000000e-01,2.75009887e-01
5.60000000e-01,2.80010067e-01
5.70000000e-01,2.85010246e-01
5.80000000e-01,2.90010426e-01
5.90000000e-01,2.95010606e-01
6.00000000e-01,3.00010786e-01
6.10000000e-01,3.05010966e-01
6.20000000e-01,3.10011145e-01
6.30000000e-01,3.15011325e-01
6.40000000e-01,3.20011505e-01
6.50000000e-01,3.25011685e-01
6.60000000e-01,3.30011864e-01
6.70000000e-01,3.35012044e-01
6.80000000e-01,3.40012224e-01
6.90000000e-01,3.45012404e-01
7.00000000e-01,3.50012583e-01
7.10000000e-01,3.55012763e-01
7.20000000e-01,3.60012943e-01
7.30000000e-01,3.65013123e-01
7.40000000e-01,3.70013302e-01
7.50000000e-01,3.75013482e-01
7.60000000e-01,3.80013662e-01
7.70000000e-01,3.85013842e-01
7.80000000e-01,3.90014021e-01
7.90000000e-01,3.95014201e-01
8.00000000e-01,4.00014381e-01
8.10000000e-01,4.05014561e-01
8.20000000e-01,4.10014741e-01
8.30000000e-01,4.15014920e-01
8.40000000e-01,4.20015100e-01
8.50000000e-01,4.25015280e-01
8.60000000e-01,4.30015460e-01
8.70000000e-01,4.35015639e-01
8.80000000e-01,4.40015819e-01
8.90000000e-01,4.45015999e-01
9.00000000e-01,4.50016179e-01
9.10000000e-01,4.55016358e-01
9.20000000e-01,4.60016538e-01
9.30000000e-01,4.65016718e-01
9.40000000e-01,4.70016898e-01
9.50000000e-01,4.75017077e-01
9.60000000e-01,4.80017257e-01
9.70000000e-01,4.85017437e-01
9.80000000e-01,4.90017617e-01
9.90000000e-01,4.95017797e-01
1.00000000e+00,5.00017976e-01
