v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,5.00213353e-03
2.00000000e-02,1.00042671e-02
3.00000000e-02,1.50064006e-02
4.00000000e-02,2.00085341e-02
5.00000000e-02,2.50106676e-02
6.00000000e-02,3.00128012e-02
7.00000000e-02,3.50149347e-02
8.00000000e-02,4.00170682e-02
9.00000000e-02,4.50192017e-02
1.00000000e-01,5.00213353e-02
1.10000000e-01,5.50234688e-02
1.20000000e-01,6.00256023e-02
1.30000000e-01,6.50277358e-02
1.40000000e-01,7.00298694e-02
1.50000000e-01,7.50320029e-02
1.60000000e-01,8.00341364e-02
1.70000000e-01,8.50362699e-02
1.80000000e-01,9.00384035e-02
1.90000000e-01,9.50405370e-02
2.00000000e-01,1.00042671e-01
2.10000000e-01,1.05044804e-01
2.20000000e-01,1.10046938e-01
2.30000000e-01,1.15049071e-01
2.40000000e-01,1.20051205e-01
2.50000000e-01,1.25053338e-01
2.60000000e-01,1.30055472e-01
2.70000000e-01,1.35057605e-01
2.80000000e-01,1.40059739e-01
2.90000000e-01,1.45061872e-01
3.00000000e-01,1.50064006e-01
3.10000000e-01,1.55066139e-01
3.20000000e-01,1.60068273e-01
3.30000000e-01,1.65070406e-01
3.40000000e-01,1.70072540e-01
3.50000000e-01,1.75074673e-01
3.60000000e-01,1.80076807e-01
3.70000000e-01,1.85078940e-01
3.80000000e-01,1.90081074e-01
3.90000000e-01,1.95083207e-01
4.00000000e-01,2.00085341e-01
4.10000000e-01,2.05087475e-01
4.20000000e-01,2.10089608e-01
4.30000000e-01,2.15091742e-01
4.40000000e-01,2.20093875e-01
4.50000000e-01,2.25096009e-01
4.60000000e-01,2.30098142e-01
4.70000000e-01,2.35100276e-01
4.80000000e-01,2.40102409e-01
4.90000000e-01,2.45104543e-01
5.00000000e-01,2.50106676e-01
5.10000000e-01,2.55108810e-01
5.20000000e-01,2.60110943e-01
5.30000000e-01,2.65113077e-01
5.40000000e-01,2.70115210e-01
5.50000000e-01,2.75117344e-01
5.60000000e-01,2.80119477e-01
5.70000000e-01,2.85121611e-01
5.80000000e-01,2.90123744e-01
5.90000000e-01,2.95125878e-01
6.00000000e-01,3.00128012e-01
6.10000000e-01,3.05130145e-01
6.20000000e-01,3.10132279e-01
6.30000000e-01,3.15134412e-01
6.40000000e-01,3.20136546e-01
6.50000000e-01,3.25138679e-01
6.60000000e-01,3.30140813e-01
6.70000000e-01,3.35142946e-01
6.80000000e-01,3.40145080e-01
6.90000000e-01,3.45147213e-01
7.00000000e-01,3.50149347e-01
7.10000000e-01,3.55151480e-01
7.20000000e-01,3.60153614e-01
7.30000000e-01,3.65155747e-01
7.40000000e-01,3.70157881e-01
7.50000000e-01,3.75160014e-01
7.60000000e-01,3.80162148e-01
7.70000000e-01,3.85164281e-01
7.80000000e-01,3.90166415e-01
7.90000000e-01,3.95168549e-01
8.00000000e-01,4.00170682e-01
8.10000000e-01,4.05172816e-01
8.20000000e-01,4.10174949e-01
8.30000000e-01,4.15177083e-01
8.40000000e-01,4.20179216e-01
8.50000000e-01,4.25181350e-01
8.60000000e-01,4.30183483e-01
8.70000000e-01,4.35185617e-01
8.80000000e-01,4.40187750e-01
8.90000000e-01,4.45189884e-01
9.00000000e-01,4.50192017e-01
9.10000000e-01,4.55194151e-01
9.20000000e-01,4.60196284e-01
9.30000000e-01,4.65198418e-01
9.40000000e-01,4.70200551e-01
9.50000000e-01,4.75202685e-01
9.60000000e-01,4.80204818e-01
9.70000000e-01,4.85206952e-01
9.80000000e-01,4.90209085e-01
9.90000000e-01,4.95211219e-01
1.00000000e+00,5.00213353e-01
