v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,4.99832797e-03
2.00000000e-02,9.99665593e-03
3.00000000e-02,1.49949839e-02
4.00000000e-02,1.99933119e-02
5.00000000e-02,2.49916398e-02
6.00000000e-02,2.99899678e-02
7.00000000e-02,3.49882958e-02
8.00000000e-02,3.99866237e-02
9.00000000e-02,4.49849517e-02
1.00000000e-01,4.99832797e-02
1.10000000e-01,5.49816076e-02
1.20000000e-01,5.99799356e-02
1.30000000e-01,6.49782636e-02
1.40000000e-01,6.99765915e-02
1.50000000e-01,7.49749195e-02
1.60000000e-01,7.99732475e-02
1.70000000e-01,8.49715754e-02
1.80000000e-01,8.99699034e-02
1.90000000e-01,9.49682314e-02
2.00000000e-01,9.99665593e-02
2.10000000e-01,1.04964887e-01
2.20000000e-01,1.09963215e-01
2.30000000e-01,1.14961543e-01
2.40000000e-01,1.19959871e-01
2.50000000e-01,1.24958199e-01
2.60000000e-01,1.29956527e-01
2.70000000e-01,1.34954855e-01
2.80000000e-01,1.39953183e-01
2.90000000e-01,1.44951511e-01
3.00000000e-01,1.49949839e-01
3.10000000e-01,1.54948167e-01
3.20000000e-01,1.59946495e-01
3.30000000e-01,1.64944823e-01
3.40000000e-01,1.69943151e-01
3.50000000e-01,1.74941479e-01
3.60000000e-01,1.79939807e-01
3.70000000e-01,1.84938135e-01
3.80000000e-01,1.89936463e-01
3.90000000e-01,1.94934791e-01
4.00000000e-01,1.99933119e-01
4.10000000e-01,2.04931447e-01
4.20000000e-01,2.09929775e-01
4.30000000e-01,2.14928103e-01
4.40000000e-01,2.19926431e-01
4.50000000e-01,2.24924759e-01
4.60000000e-01,2.29923086e-01
4.70000000e-01,2.34921414e-01
4.80000000e-01,2.39919742e-01
4.90000000e-01,2.44918070e-01
5.00000000e-01,2.49916398e-01
5.10000000e-01,2.54914726e-01
5.20000000e-01,2.59913054e-01
5.30000000e-01,2.64911382e-01
5.40000000e-01,2.69909710e-01
5.50000000e-01,2.74908038e-01
5.60000000e-01,2.79906366e-01
5.70000000e-01,2.84904694e-01
5.80000000e-01,2.89903022e-01
5.90000000e-01,2.94901350e-01
6.00000000e-01,2.99899678e-01
6.10000000e-01,3.04898006e-01
6.20000000e-01,3.09896334e-01
6.30000000e-01,3.14894662e-01
6.40000000e-01,3.19892990e-01
6.50000000e-01,3.24891318e-01
6.60000000e-01,3.29889646e-01
6.70000000e-01,3.34887974e-01
6.80000000e-01,3.39886302e-01
6.90000000e-01,3.44884630e-01
7.00000000e-01,3.49882958e-01
7.10000000e-01,3.54881286e-01
7.20000000e-01,3.59879614e-01
7.30000000e-01,3.64877942e-01
7.40000000e-01,3.69876270e-01
7.50000000e-01,3.74874598e-01
7.60000000e-01,3.79872925e-01
7.70000000e-01,3.84871253e-01
7.80000000e-01,3.89869581e-01
7.90000000e-01,3.94867909e-01
8.00000000e-01,3.99866237e-01
8.10000000e-01,4.04864565e-01
8.20000000e-01,4.09862893e-01
8.30000000e-01,4.14861221e-01
8.40000000e-01,4.19859549e-01
8.50000000e-01,4.24857877e-01
8.60000000e-01,4.29856205e-01
8.70000000e-01,4.34854533e-01
8.80000000e-01,4.39852861e-01
8.90000000e-01,4.44851189e-01
9.00000000e-01,4.49849517e-01
9.10000000e-01,4.54847845e-01
9.20000000e-01,4.59846173e-01
9.30000000e-01,4.64844501e-01
9.40000000e-01,4.69842829e-01
9.50000000e-01,4.74841157e-01
9.60000000e-01,4.79839485e-01
9.70000000e-01,4.84837813e-01
9.80000000e-01,4.89836141e-01
9.90000000e-01,4.94834469e-01
1.00000000e+00,4.99832797e-01
